date,area,area_type,unvaccinated_cases,vaccinated_cases,unvaccinated_hosp,vaccinated_hosp,unvaccinated_deaths,vaccinated_deaths,population_unvaccinated,population_vaccinated,unvaccinated_cases_per_100k,vaccinated_cases_per_100k,unvaccinated_hosp_per_100k,vaccinated_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k
2/1/21,California,State,14595,24,781,1,12,0,36190068,339372,,,,,,
2/2/21,California,State,12076,21,599,0,15,0,36073331,373679,,,,,,
2/3/21,California,State,11009,25,557,0,18,0,35938325,410320,,,,,,
2/4/21,California,State,9661,17,487,0,19,0,35774605,431692,,,,,,
2/5/21,California,State,8984,17,507,1,27,0,35611210,447446,,,,,,
2/6/21,California,State,6387,12,375,1,32,0,35507409,460494,,,,,,
2/7/21,California,State,4911,8,375,0,45,0,35449430,465455,27.25129451,3.805799855,1.483400841,0.092075803,0.067702076,0
2/8/21,California,State,8984,25,465,1,37,0,35333157,503581,25.07236232,3.546031891,1.360518919,0.085104765,0.078032734,0
2/9/21,California,State,7387,15,429,0,38,0,35194037,544831,23.26814625,3.120233614,1.296891776,0.078661352,0.08767719,0
2/10/21,California,State,7079,29,395,0,47,0,35042985,587459,21.76632906,2.991090199,1.236440658,0.072953419,0.099877336,0
2/11/21,California,State,6242,30,334,1,48,0,34880775,624724,20.46727132,3.10994478,1.179528183,0.091468964,0.112219001,0
2/12/21,California,State,5867,19,374,2,60,0,34723628,662121,19.27752809,2.977444563,1.13014853,0.107878426,0.126303458,0
2/13/21,California,State,4233,11,276,0,46,0,34608296,678566,18.45263591,2.8842336,1.093049234,0.0842112,0.132503325,0
2/14/21,California,State,3363,6,234,0,60,0,34539134,683799,17.8493184,2.820377667,1.036919041,0.083566746,0.138972795,0
2/15/21,California,State,4988,25,300,1,62,0,34410376,728205,16.25713958,2.648390808,0.97229809,0.078470839,0.149871738,0
2/16/21,California,State,5369,22,326,1,57,0,34260674,776515,15.48672727,2.612404691,0.933598513,0.091986081,0.158449055,0
2/17/21,California,State,4808,22,262,0,56,0,34094911,834892,14.61047536,2.309965155,0.8824107,0.085554265,0.16299039,0
2/18/21,California,State,4129,22,238,0,60,0,33919524,899888,13.79609994,2.016123911,0.846541529,0.063499966,0.168887141,0
2/19/21,California,State,3904,17,238,1,73,0,33743429,984402,13.03703562,1.814009201,0.793381982,0.043536221,0.17527222,0
2/20/21,California,State,2922,13,203,0,53,0,33616413,1021240,12.52916884,1.776551755,0.765357429,0.041965789,0.178909205,0
2/21/21,California,State,2499,15,180,1,53,1,33562992,1038601,12.18135907,1.87064825,0.743591121,0.055019066,0.176214496,0.013754767
2/22/21,California,State,4333,36,245,0,69,0,33437473,1104484,11.94724596,1.901340354,0.722884429,0.038802864,0.179866634,0.012934288
2/23/21,California,State,3769,22,221,1,56,0,33306582,1195021,11.30793221,1.757291294,0.680689137,0.035863088,0.180144573,0.011954363
2/24/21,California,State,3636,22,215,0,67,0,33164939,1313890,10.85139081,1.598307316,0.663351137,0.032618517,0.185652169,0.010872839
2/25/21,California,State,3212,30,198,2,59,0,33015687,1441731,10.50366495,1.53585219,0.649042118,0.049543619,0.186058741,0.009908724
2/26/21,California,State,3158,33,208,2,57,0,32863353,1574375,10.22806685,1.551636137,0.639009659,0.054443373,0.179965986,0.009073896
2/27/21,California,State,2411,13,153,0,59,0,32767889,1652879,10.03508561,1.477940698,0.619072968,0.051857568,0.183106089,0.008642928
2/28/21,California,State,2061,15,164,2,63,1,32714903,1698951,9.860075959,1.437862035,0.613088868,0.058859849,0.187769383,0.00840855
3/1/21,California,State,3546,27,224,1,46,0,32634109,1766648,9.539974615,1.309986887,0.605413889,0.06469071,0.17816591,0.008086339
3/2/21,California,State,3053,37,168,3,58,0,32497136,1892420,9.265431883,1.336157633,0.584666907,0.075489132,0.179796064,0.007548913
3/3/21,California,State,2982,42,147,3,37,1,32365353,2033549,9.014489749,1.383928154,0.557033054,0.091325208,0.167286472,0.014050032
3/4/21,California,State,2765,37,163,2,50,1,32230137,2186021,8.854179818,1.333146257,0.54385656,0.084955399,0.163999126,0.019605092
3/5/21,California,State,2747,30,212,2,45,0,32095063,2319016,8.708504482,1.238209901,0.547925838,0.080083227,0.15934805,0.018480745
3/6/21,California,State,2079,21,136,1,41,0,32007559,2395331,8.584132981,1.246472527,0.541836294,0.083495767,0.151749868,0.01789195
3/7/21,California,State,1831,27,148,2,35,0,31962173,2442081,8.493522282,1.292808411,0.535454386,0.081897365,0.139450558,0.011699624
3/8/21,California,State,3112,45,176,1,42,0,31874181,2534519,8.322454734,1.347113876,0.515419406,0.078910436,0.138042763,0.011272919
3/9/21,California,State,2672,38,135,3,43,0,31762454,2671166,8.180368287,1.283548618,0.502390113,0.074873669,0.131781829,0.010696238
3/10/21,California,State,2572,47,158,3,48,1,31620115,2837235,8.031957777,1.233595384,0.509621351,0.070491165,0.137344761,0.010070166
3/11/21,California,State,2410,45,148,5,35,0,31440754,3007011,7.916476812,1.201952941,0.505713063,0.080763636,0.131312736,0.004750802
3/12/21,California,State,2320,42,126,5,47,0,31231514,3181457,7.774198843,1.189930993,0.469763604,0.089806113,0.133107311,0.004490306
3/13/21,California,State,1776,26,134,4,38,0,31079954,3304398,7.672837243,1.167275509,0.471135097,0.09943458,0.132377471,0.004323243
3/14/21,California,State,1505,29,97,2,37,0,30996800,3368145,7.543174964,1.153665975,0.448894264,0.097552638,0.13365435,0.004241419
3/15/21,California,State,2677,52,167,9,25,0,30844163,3483761,7.379029867,1.144083732,0.446947265,0.127120415,0.126442076,0.004100659
3/16/21,California,State,2354,49,146,5,41,1,30655959,3618301,7.276143045,1.144973053,0.45481719,0.130290037,0.126286331,0.007896366
3/17/21,California,State,2430,51,139,1,51,0,30449839,3776871,7.258776358,1.112031626,0.448981966,0.117255035,0.128548651,0.00378242
3/18/21,California,State,2052,41,131,4,43,1,30230117,3940971,7.142356932,1.051227513,0.444211692,0.108747674,0.133263508,0.007249845
3/19/21,California,State,2011,31,149,3,30,0,30003919,4086357,7.049079155,0.975371042,0.458511532,0.0978867,0.126173994,0.006991907
3/20/21,California,State,1597,27,85,2,48,1,29827461,4194152,7.005050049,0.953708878,0.43775576,0.088558682,0.131709884,0.010218309
3/21/21,California,State,1485,24,101,2,30,1,29733321,4249823,7.017619823,0.924408247,0.441063604,0.087398598,0.128763666,0.013445938
3/22/21,California,State,2499,56,154,4,28,0,29568596,4334195,6.970716016,0.919597361,0.43723995,0.069217006,0.130930416,0.013184192
3/23/21,California,State,2309,49,124,0,23,0,29379278,4473013,6.993753508,0.89105806,0.429359963,0.051100104,0.123021598,0.009581269
3/24/21,California,State,2401,93,114,4,28,0,29170778,4633778,7.029539728,0.989627532,0.420185669,0.058576084,0.112637184,0.009248855
3/25/21,California,State,2059,67,114,5,35,0,28936003,4830460,7.090030467,1.026225837,0.415201979,0.059148463,0.109601474,0.005914846
3/26/21,California,State,2062,80,132,4,24,2,28688756,5046115,7.176529867,1.12108877,0.410315058,0.059451677,0.107558316,0.011324129
3/27/21,California,State,1542,33,98,2,31,0,28499067,5186772,7.196726826,1.107212182,0.419562607,0.057839442,0.099752639,0.008262777
3/28/21,California,State,1479,27,116,1,19,0,28403289,5268425,7.217976964,1.098186704,0.428521802,0.054231442,0.094556454,0.005423144
3/29/21,California,State,2494,62,125,2,22,1,28219483,5408748,7.262459668,1.085543008,0.416632114,0.04754203,0.092134927,0.007923672
3/30/21,California,State,2218,61,115,9,26,0,27980319,5575450,7.278074891,1.083833079,0.415598243,0.069180835,0.094454146,0.007686759
3/31/21,California,State,2144,83,113,3,27,1,27713267,5734451,7.215729151,1.028869198,0.41908757,0.064771426,0.094848847,0.009964835
4/1/21,California,State,2123,69,114,6,23,0,27448128,5910777,7.318740072,1.003010506,0.423135804,0.065256105,0.089519506,0.009667571
4/2/21,California,State,2023,58,116,4,15,0,27180613,6096530,7.370274226,0.920898563,0.418891005,0.06326784,0.085670306,0.004686507
4/3/21,California,State,1568,45,93,3,19,0,26971266,6212194,7.44125248,0.931347972,0.419494054,0.064389489,0.079979296,0.004599249
4/4/21,California,State,1423,38,107,6,24,0,26874284,6273561,7.438337706,0.947286102,0.416223714,0.075145292,0.082925797,0.00455426
4/5/21,California,State,2626,71,124,4,19,1,26680573,6375832,7.563020265,0.952256674,0.418710219,0.078421138,0.081921565,0.004481208
4/6/21,California,State,2313,68,119,4,13,0,26444675,6525546,7.681805775,0.945733671,0.424606142,0.065675949,0.075629593,0.004378397
4/7/21,California,State,2331,66,136,6,22,0,26201176,6700686,7.855154506,0.884770817,0.441092524,0.07035527,0.073606293,0.002131978
4/8/21,California,State,2063,72,119,7,24,0,25942471,6896741,7.90044799,0.86583338,0.448244557,0.070426639,0.074890983,0.002071372
4/9/21,California,State,2053,74,135,6,26,0,25685141,7111859,7.996285256,0.871783313,0.463302888,0.072313823,0.081759333,0.002008717
4/10/21,California,State,1659,41,129,3,24,1,25511384,7277279,8.101705273,0.844114557,0.486617493,0.070670056,0.085116063,0.003926114
4/11/21,California,State,1423,45,104,7,15,0,25417303,7363728,8.13169337,0.847784864,0.486732545,0.071780412,0.080372695,0.003880022
4/12/21,California,State,2426,116,147,11,25,0,25231345,7514143,8.078387079,0.916367214,0.503342172,0.083651779,0.084362186,0.001901177
4/13/21,California,State,2191,79,116,9,20,0,24983960,7703753,8.088618229,0.914211183,0.506610756,0.090864803,0.089200088,0.001854384
4/14/21,California,State,2158,68,130,7,22,1,24719674,7906577,8.07511805,0.894372947,0.508559642,0.090340702,0.090153755,0.003613628
4/15/21,California,State,1918,69,111,6,20,0,24400333,8144463,8.095908246,0.862987704,0.510531674,0.085947962,0.08899176,0.00350808
4/16/21,California,State,1835,71,137,10,16,1,24093485,8377766,8.069757091,0.833839747,0.518219522,0.090375269,0.084195849,0.005115581
4/17/21,California,State,1402,52,91,8,19,1,23882270,8552036,7.98739579,0.835222998,0.50007211,0.096885868,0.081949616,0.005011338
4/18/21,California,State,1294,51,111,8,19,2,23804916,8630526,7.935935826,0.837558618,0.505897905,0.097659997,0.084616376,0.008276271
4/19/21,California,State,2154,101,156,7,21,2,23586071,8825013,7.844823813,0.79481874,0.516043074,0.089032649,0.082978757,0.011331428
4/20/21,California,State,1906,92,126,7,18,0,23291848,9075666,7.769119172,0.793330208,0.528695092,0.083425597,0.082800275,0.011018475
4/21/21,California,State,1786,79,100,8,23,1,22984488,9334635,7.641799858,0.788155387,0.517118949,0.082641536,0.084529059,0.010712792
4/22/21,California,State,1634,89,103,11,14,0,22655406,9614739,7.573720563,0.794910516,0.519585858,0.087663029,0.081973497,0.010400698
4/23/21,California,State,1625,73,91,3,16,0,22339271,9898250,7.546607689,0.775028775,0.49752231,0.075049341,0.083133548,0.008659539
4/24/21,California,State,1220,64,105,10,19,0,22103215,10124366,7.509573349,0.774651681,0.511884163,0.076195247,0.08402139,0.007055115
4/25/21,California,State,1089,59,96,7,16,2,21988203,10240410,7.415664793,0.77703362,0.504816151,0.073936772,0.082511778,0.006975167
4/26/21,California,State,1874,110,121,11,15,0,21787736,10433483,7.300306138,0.774977473,0.486512229,0.078045435,0.0793369,0.004107654
4/27/21,California,State,1659,100,81,8,18,1,21541051,10635466,7.220101351,0.771005239,0.462240346,0.077906453,0.080245455,0.005372859
4/28/21,California,State,1609,95,114,3,9,1,21300966,10863107,7.182772838,0.775889571,0.476839541,0.069698555,0.071760662,0.005260268
4/29/21,California,State,1446,104,104,10,16,1,21021430,11091839,7.150526188,0.779208673,0.483859974,0.066973307,0.074074069,0.006439741
4/30/21,California,State,1442,100,99,10,12,0,20762164,11327164,7.113902,0.797072544,0.495406658,0.074410253,0.072246804,0.006305954
